Service description,Service ID,Cost ($),Discounts ($),Promotions & others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Vertex AI,C7E2-9256-1C43,64.04,0.00,0.00,64.035476,64.04,New
,,,,Subtotal,64.035476,64.04
,,,,Tax,0.000000,0.00
,,,,Total,64.035476,64.04
